Code,Sum of Quantity Shipped,TimePeriod
AGERA,0,2023-01-21 00:00:00
AGERA,0,2023-01-23 00:00:00
AGERA,0,2023-02-04 00:00:00
AGERA,0,2023-02-11 00:00:00
ALTER,102964.5,
ALTER,303.5,2022-07-14 00:00:00
ALTER,0,2022-07-15 00:00:00
ALTER,0,2022-07-27 00:00:00
ALTER,0,2022-08-01 00:00:00
ALTER,0,2022-08-06 00:00:00
ALTER,0,2022-08-19 00:00:00
ALTER,0,2022-08-22 00:00:00
ALTER,747,2022-09-07 00:00:00
ALTER,0,2022-11-07 00:00:00
ALTER,0,2022-11-14 00:00:00
ALTER,0,2022-11-21 00:00:00
ALTER,0,2022-11-26 00:00:00
ALTER,0,2022-12-03 00:00:00
ALTER,0,2022-12-05 00:00:00
ALTER,0,2022-12-17 00:00:00
ALTER,0,2022-12-20 00:00:00
ALTER,0,2022-12-25 00:00:00
ALTER,0,2023-01-08 00:00:00
ALTER,0,2023-01-09 00:00:00
ALTER,0,2023-01-16 00:00:00
ALTER,0,2023-01-22 00:00:00
ALTER,0,2023-01-23 00:00:00
ALTER,222,2023-01-27 00:00:00
ALTER,0,2023-01-29 00:00:00
ALTER,1742,2023-01-30 00:00:00
ALTER,0,2023-02-01 00:00:00
ALTER,135,2023-02-03 00:00:00
ALTER,0,2023-02-05 00:00:00
ALTER,876,2023-02-06 00:00:00
ALTER,574,2023-02-08 00:00:00
ALTER,0,2023-02-12 00:00:00
ALTER,6481,2023-02-13 00:00:00
ALTER,2857,2023-02-15 00:00:00
ALTER,404,2023-02-17 00:00:00
ALTER,0,2023-02-19 00:00:00
ALTER,5004,2023-02-20 00:00:00
ALTER,2390,2023-02-22 00:00:00
ALTER,0,2023-02-26 00:00:00
ALTER,561,2023-02-27 00:00:00
ALTER,1497,2023-03-01 00:00:00
ALTER,0,2023-03-05 00:00:00
ALTER,0,2023-03-06 00:00:00
ALTER,11789,2023-03-08 00:00:00
ALTER,0,2023-03-10 00:00:00
ALTER,0,2023-03-12 00:00:00
ALTER,386.5,2023-03-13 00:00:00
ALTER,0,2023-03-14 00:00:00
ALTER,0,2023-03-18 00:00:00
ALTER,0,2023-03-19 00:00:00
ALTER,0,2023-03-20 00:00:00
ALTER,0,2023-03-26 00:00:00
ALTER,0,2023-04-02 00:00:00
ALTER,0,2023-04-09 00:00:00
ANGEL,18636900.85,
ANGEL,7676,2022-06-20 00:00:00
ANGEL,0,2022-06-21 00:00:00
ANGEL,0,2022-06-23 00:00:00
ANGEL,0,2022-06-24 00:00:00
ANGEL,3447,2022-06-27 00:00:00
ANGEL,0,2022-07-01 00:00:00
ANGEL,0,2022-07-02 00:00:00
ANGEL,1158,2022-07-04 00:00:00
ANGEL,0,2022-07-06 00:00:00
ANGEL,0,2022-07-08 00:00:00
ANGEL,2944,2022-07-11 00:00:00
ANGEL,16929,2022-07-14 00:00:00
ANGEL,23475.5,2022-07-15 00:00:00
ANGEL,0,2022-07-16 00:00:00
ANGEL,0,2022-07-23 00:00:00
ANGEL,1320,2022-07-25 00:00:00
ANGEL,0,2022-07-27 00:00:00
ANGEL,0,2022-07-30 00:00:00
ANGEL,1841,2022-08-01 00:00:00
ANGEL,0,2022-08-02 00:00:00
ANGEL,0,2022-08-06 00:00:00
ANGEL,1550,2022-08-08 00:00:00
ANGEL,0,2022-08-12 00:00:00
ANGEL,0,2022-08-13 00:00:00
ANGEL,1209,2022-08-15 00:00:00
ANGEL,0,2022-08-16 00:00:00
ANGEL,0,2022-08-19 00:00:00
ANGEL,0,2022-08-20 00:00:00
ANGEL,0,2022-08-22 00:00:00
ANGEL,0,2022-08-27 00:00:00
ANGEL,0,2022-09-02 00:00:00
ANGEL,0,2022-09-04 00:00:00
ANGEL,1338,2022-09-05 00:00:00
ANGEL,831538,2022-09-07 00:00:00
ANGEL,0,2022-09-09 00:00:00
ANGEL,0,2022-09-16 00:00:00
ANGEL,0,2022-09-18 00:00:00
ANGEL,0,2022-09-23 00:00:00
ANGEL,948,2022-09-26 00:00:00
ANGEL,0,2022-09-30 00:00:00
ANGEL,0,2022-10-02 00:00:00
ANGEL,0,2022-10-03 00:00:00
ANGEL,0,2022-10-09 00:00:00
ANGEL,0,2022-10-10 00:00:00
ANGEL,0,2022-10-14 00:00:00
ANGEL,0,2022-10-15 00:00:00
ANGEL,0,2022-10-16 00:00:00
ANGEL,5814,2022-10-17 00:00:00
ANGEL,0,2022-10-18 00:00:00
ANGEL,0,2022-10-20 00:00:00
ANGEL,0,2022-10-23 00:00:00
ANGEL,7044,2022-10-24 00:00:00
ANGEL,0,2022-10-26 00:00:00
ANGEL,0,2022-10-29 00:00:00
ANGEL,10185,2022-10-31 00:00:00
ANGEL,0,2022-11-01 00:00:00
ANGEL,9126,2022-11-03 00:00:00
ANGEL,0,2022-11-06 00:00:00
ANGEL,23821,2022-11-07 00:00:00
ANGEL,0,2022-11-09 00:00:00
ANGEL,0,2022-11-13 00:00:00
ANGEL,4273,2022-11-14 00:00:00
ANGEL,0,2022-11-15 00:00:00
ANGEL,0,2022-11-19 00:00:00
ANGEL,0,2022-11-20 00:00:00
ANGEL,27201,2022-11-21 00:00:00
ANGEL,0,2022-11-22 00:00:00
ANGEL,0,2022-11-26 00:00:00
ANGEL,0,2022-11-27 00:00:00
ANGEL,11020.5,2022-11-28 00:00:00
ANGEL,0,2022-11-30 00:00:00
ANGEL,0,2022-12-03 00:00:00
ANGEL,0,2022-12-04 00:00:00
